text,label
send me a pic rq lmao tbh?,Predatory
yo drop ur ign lol ngl!!,Not Predatory
this chat dead lowk 💀 lowk,Not Predatory
that skin clean af smh ngl...,Not Predatory
who online rn ong later??,Not Predatory
nah im tired 💀 lowk??,Not Predatory
i won’t snitch dw 😂 lowk...,Predatory
bro that clutch insane 😂 tbh,Not Predatory
this wifi trash 😭,Not Predatory
come thru tmrw smh tbh?,Predatory
promise i won’t tell smh lowk!!,Predatory
just us two fr later??,Predatory
this lobby sweaty af fr highk...,Not Predatory
bruh u selling smh asap...,Not Predatory
lowk that was fire lmao rn!!,Not Predatory
delete logs later 😂 tho??,Predatory
yo queue up smh lowk!,Not Predatory
just us two lol lowk...,Predatory
yo lets squad 💀 later??,Not Predatory
yo invite me lol highk,Not Predatory
promise i won’t tell 😂 ngl,Predatory
parents wont find out bro ngl...,Predatory
anyone got hw done lmao lowk??,Not Predatory
nah im broke rn ong later!,Not Predatory
anyone got hw done lol lowk?,Not Predatory
im down for comp 💀 tho??,Not Predatory
come thru tmrw asap!!,Predatory
nah game bugged?,Not Predatory
this lobby sweaty af ong lowk??,Not Predatory
bruh u funny asf lmao?,Not Predatory
we gotta keep quiet 😂 rn??,Predatory
yo this lobby mid lol ngl!,Not Predatory
anyone got hw done fr rn??,Not Predatory
come thru tmrw lol rn,Predatory
ill keep it secret ong!,Predatory
hide this convo bro highk?,Predatory
dont ask why bro rn??,Predatory
yo gimme ur snap ong ngl?,Predatory
nah im tired lmao highk??,Not Predatory
lowk need food idc,Not Predatory
this wifi trash ong idc...,Not Predatory
switch to insta 😂 tho??,Predatory
this lobby sweaty af ong later...,Not Predatory
this lobby sweaty af 💀 tho??,Not Predatory
yo gimme ur snap lmao rn!!,Predatory
lowk that was fire ong!!,Not Predatory
anyone got code?,Not Predatory
delete logs later ngl??,Predatory
this just btwn u n me idc?,Predatory
anyone got code lmao ngl...,Not Predatory
yo hop on vc lmao tbh,Not Predatory
yo lets squad lol later,Not Predatory
we gotta keep quiet 💀 tho...,Predatory
bruh u funny asf lol ngl??,Not Predatory
nobody gotta kno bro rn!,Predatory
fr that update trash rn!!,Not Predatory
yo send link fr??,Not Predatory
bruh u funny asf bro later!,Not Predatory
nah game bugged lol lowk?,Not Predatory
this wifi trash ong idc!!,Not Predatory
dont tell ur friends lol rn!!,Predatory
switch to insta 💀 tho...,Predatory
nah i gotta dip lol rn!!,Not Predatory
bruh u always late smh rn,Not Predatory
nah im tired 💀 tho!!,Not Predatory
bruh stop camping ong later?,Not Predatory
slide me ur addy 😭 idc,Predatory
bro that clutch insane lol ngl...,Not Predatory
bruh u funny asf bro idc??,Not Predatory
anyone got code smh tbh...,Not Predatory
nah im broke rn 💀 later?,Not Predatory
its chill trust lmao tho??,Predatory
nobody else important 💀 highk,Predatory
bruh stop camping tbh,Not Predatory
no1 gotta kno fr lmao ngl,Predatory
dont type it here fr ngl!!,Predatory
send me a pic rq bro lowk...,Predatory
yo hop on vc smh??,Not Predatory
bruh u selling 😂 tho,Not Predatory
this just btwn u n me lmao idc!,Predatory
nah i gotta dip bro later??,Not Predatory
slide me ur addy bro asap...,Predatory
lowk that was fire 😂 asap,Not Predatory
nobody gotta kno 😂 highk!!,Predatory
u on rn smh rn!,Not Predatory
nobody gotta kno 💀 later!,Predatory
slide me ur addy smh later,Predatory
nah i muted u lol lmao rn!!,Not Predatory
dont ask why bro,Predatory
shh its secret ong highk!!,Predatory
that skin clean af 😂 idc...,Not Predatory
yo gimme ur snap ong idc!!,Predatory
u on rn 💀 tho!,Not Predatory
ggs that was fun fr idc?,Not Predatory
nah im tired ong ngl!,Not Predatory
who hosting rn smh later,Not Predatory
just us two lmao rn?,Predatory
yo drop ur ign!!,Not Predatory
promise i won’t tell 😭 later!!,Predatory
yo gimme ur snap smh ngl...,Predatory
ur parents don’t gotta kno 😭!!,Predatory
ill keep it secret lmao tbh?,Predatory
bro that clutch insane smh tho??,Not Predatory
ill keep it secret 😂 lowk,Predatory
move this convo to dms lol tbh...,Predatory
im down for comp 😭 idc??,Not Predatory
yo lets squad bro later,Not Predatory
switch to insta 💀 highk...,Predatory
im down for comp fr rn!!,Not Predatory
nah i lagged lowk,Not Predatory
bruh u funny asf smh rn,Not Predatory
u on rn bro tho!!,Not Predatory
this lobby sweaty af smh idc!!,Not Predatory
lol that meme killed me 😂!!,Not Predatory
come thru tmrw lol tho??,Predatory
anyone got hw done lol rn...,Not Predatory
bro that clutch insane lmao tbh,Not Predatory
send me a pic rq smh lowk...,Predatory
send me a pic rq 😂 rn!!,Predatory
i won’t snitch dw 😂 tho!,Predatory
dont ask why 😭 ngl??,Predatory
its chill trust smh later?,Predatory
u on rn ong?,Not Predatory
nah i cant today 😂 idc,Not Predatory
we shud link irl lol highk...,Predatory
nah im broke rn 😭 ngl...,Not Predatory
add me private lmao highk!!,Predatory
this lobby sweaty af bro highk??,Not Predatory
bruh u selling lowk!,Not Predatory
lol that meme killed me lol tbh?,Not Predatory
trust me it’s safe bro!!,Predatory
who hosting rn fr later!!,Not Predatory
no1 gotta kno fr fr asap!!,Predatory
this lobby sweaty af 😭 asap??,Not Predatory
ggs that was fun lol tbh?,Not Predatory
move this convo to dms lmao tbh...,Predatory
bruh u always late 😭 tbh??,Not Predatory
bruh u always late fr rn!,Not Predatory
don’t say nun ong asap!,Predatory
switch to insta 😭 idc...,Predatory
who online rn fr idc...,Not Predatory
im down for comp 😭 rn?,Not Predatory
nah i muted u lol bro tbh!,Not Predatory
dont tell ur friends idc??,Predatory
no1 gotta kno fr ong tbh...,Predatory
don’t say nun 😂 later?,Predatory
bruh stop camping 😂 asap,Not Predatory
trust me u fine smh tho!!,Predatory
dont tell ur friends bro highk,Predatory
lowk that was fire later!,Not Predatory
delete these msgs after bro later...,Predatory
anyone tryna play lol tbh?,Not Predatory
slide me ur addy bro rn...,Predatory
promise i won’t tell 💀 ngl,Predatory
stay quiet abt this smh tho!!,Predatory
nah i cant today smh tho!,Not Predatory
send me dm rn lol?,Predatory
yo hop on vc lol,Not Predatory
this chat dead lowk ong idc...,Not Predatory
yo invite me tho!,Not Predatory
nah i muted u lol 😭 ngl!!,Not Predatory
act normal in chat lol!,Predatory
dont share this fr highk!!,Predatory
bro that clutch insane fr rn!,Not Predatory
don’t tell no1 lol idc?,Predatory
delete these msgs after lol tbh?,Predatory
send me a pic rq lmao later??,Predatory
send me dm rn ong ngl??,Predatory
yo queue up lol asap??,Not Predatory
parents wont find out lmao later,Predatory
anyone tryna play 💀 highk??,Not Predatory
hide this convo tbh,Predatory
dont tell ur friends 💀 tho?,Predatory
its chill trust fr rn?,Predatory
nah i muted u lol 😭 idc...,Not Predatory
add me private 😂 tho!!,Predatory
delete these msgs after smh ngl!!,Predatory
ill keep it secret ong ngl!,Predatory
bruh stop camping ong ngl,Not Predatory
fr that update trash ong tho...,Not Predatory
yo invite me 😂 tbh...,Not Predatory
no1 gotta kno fr 💀 tbh??,Predatory
who online rn smh idc,Not Predatory
who online rn bro lowk??,Not Predatory
lol that meme killed me lmao...,Not Predatory
yo hop on vc ong rn??,Not Predatory
u on rn 😭 highk!,Not Predatory
dont tell ur friends lmao tbh...,Predatory
i won’t snitch dw fr idc?,Predatory
act normal in chat 😂 ngl,Predatory
dont ask why fr rn,Predatory
shh its secret fr rn!!,Predatory
yo send link bro later??,Not Predatory
nah i lagged smh?,Not Predatory
who hosting rn!,Not Predatory
delete these msgs after later??,Predatory
ill keep it secret 😂 tho?,Predatory
nah i cant today bro tbh!!,Not Predatory
this team stacked bro tho?,Not Predatory
bruh stop camping bro asap,Not Predatory
promise i won’t tell 💀 tbh...,Predatory
yo hop on vc lol...,Not Predatory
dont ask why smh!,Predatory
don’t say nun 😂 ngl!,Predatory
parents wont find out 💀??,Predatory
ur parents don’t gotta kno ong tho,Predatory
send it here only ong idc!,Predatory
yo lets squad lmao idc!,Not Predatory
nah im tired lol ngl??,Not Predatory
lowk that was fire 😭 rn??,Not Predatory
nah i gotta dip fr ngl...,Not Predatory
move this convo to dms bro highk,Predatory
trust me it’s safe 😭!!,Predatory
nobody else gotta see bro highk...,Predatory
bruh u always late lol ngl...,Not Predatory
just us two 💀 rn??,Predatory
yo check discord ong!!,Not Predatory
this lobby sweaty af 😭 highk??,Not Predatory
nah i lagged 😭 tbh??,Not Predatory
lol that meme killed me lol idc??,Not Predatory
switch to insta 😂 tbh??,Predatory
anyone got hw done fr tho,Not Predatory
anyone tryna play smh!!,Not Predatory
we gotta keep quiet 😭 asap...,Predatory
yo gimme ur snap 😂!!,Predatory
who hosting rn lmao?,Not Predatory
yo drop ur ign 😂 tho?,Not Predatory
nah im tired lol rn??,Not Predatory
yo gimme ur snap lol later!!,Predatory
don’t tell no1 fr highk!!,Predatory
lol that meme killed me asap,Not Predatory
nobody else gotta see lmao asap?,Predatory
act normal in chat ong?,Predatory
anyone tryna play 😭 tho??,Not Predatory
ur parents don’t gotta kno bro ngl??,Predatory
its chill trust highk??,Predatory
anyone got code ong??,Not Predatory
send me dm rn fr highk!!,Predatory
yo queue up 😂 tbh,Not Predatory
i won’t snitch dw bro lowk!,Predatory
dont type it here fr later,Predatory
nah im broke rn 💀 highk!,Not Predatory
ill keep it secret lol lowk??,Predatory
nah i’m off rn ong tho,Not Predatory
stop acting scared ong asap?,Predatory
anyone tryna play smh asap?,Not Predatory
nah i cant today fr idc!!,Not Predatory
nah i lagged lol tho!!,Not Predatory
ggs that was fun ong rn?,Not Predatory
yo invite me 😭 tho!!,Not Predatory
yo invite me lmao ngl,Not Predatory
i won’t snitch dw lol rn,Predatory
that skin clean af bro asap??,Not Predatory
yo hop on vc lol tbh?,Not Predatory
just us two 💀 ngl,Predatory
don’t tell no1 💀 highk??,Predatory
dont share this 😭 tho!!,Predatory
we gotta keep quiet 💀 tbh,Predatory
this lobby sweaty af 😭 tho!,Not Predatory
bruh stop camping 😭!!,Not Predatory
nah i gotta dip lmao tho??,Not Predatory
nah game bugged fr tho!!,Not Predatory
bruh stop camping bro tho,Not Predatory
this wifi trash lmao tbh?,Not Predatory
i won’t snitch dw lmao rn!,Predatory
act normal in chat later?,Predatory
trust me u fine 💀 idc...,Predatory
yo lets squad ong ngl,Not Predatory
ur parents don’t gotta kno bro lowk!,Predatory
yo queue up 😭 highk...,Not Predatory
move this convo to dms ong tho,Predatory
this wifi trash 💀 later?,Not Predatory
yo check discord bro tbh!,Not Predatory
who online rn 😂 rn!!,Not Predatory
we shud link irl ong ngl...,Predatory
that skin clean af lmao tbh,Not Predatory
delete logs later asap!!,Predatory
im down for comp lol tbh...,Not Predatory
i won’t snitch dw 😂 rn!,Predatory
dont tell ur friends ong ngl!!,Predatory
anyone got hw done lmao,Not Predatory
delete these msgs after bro rn,Predatory
ur parents don’t gotta kno 💀 asap,Predatory
nah i’m off rn tbh??,Not Predatory
nah im broke rn 😂 later!,Not Predatory
nah i muted u lol later!!,Not Predatory
delete logs later 💀!,Predatory
parents wont find out fr tho!!,Predatory
shh its secret 😭 ngl??,Predatory
switch to insta lmao,Predatory
promise i won’t tell smh asap??,Predatory
stay quiet abt this lmao later,Predatory
keep this btwn us ong rn??,Predatory
bruh u selling ong tbh...,Not Predatory
send me a pic rq ong ngl??,Predatory
stop acting scared smh?,Predatory
anyone got hw done bro ngl??,Not Predatory
im down for comp lmao tbh...,Not Predatory
bruh u funny asf smh ngl,Not Predatory
delete these msgs after 💀 rn!!,Predatory
bruh u funny asf lol tbh,Not Predatory
no1 gotta kno fr smh tho??,Predatory
yo hop on vc fr asap...,Not Predatory
lmfao u trash fr highk?,Not Predatory
don’t say nun fr!!,Predatory
ur parents don’t gotta kno lmao ngl!,Predatory
nah game bugged lol later??,Not Predatory
no1 gotta kno fr lol asap...,Predatory
come thru tmrw lol tbh?,Predatory
stay quiet abt this 😭 rn...,Predatory
im down for comp 😭 asap!!,Not Predatory
don’t say nun 😭 rn...,Predatory
bruh u selling 😭 ngl??,Not Predatory
add me private 😂 asap...,Predatory
lol that meme killed me 💀 asap!,Not Predatory
yo hop on vc ong rn!,Not Predatory
dont tell ur friends 😂 asap??,Predatory
nobody gotta kno bro highk!!,Predatory
who online rn 💀 highk...,Not Predatory
nah im tired lmao idc?,Not Predatory
bruh u always late lol tbh!,Not Predatory
lowk need food lmao rn!,Not Predatory
just us two fr rn!,Predatory
trust me it’s safe idc,Predatory
yo hop on vc smh highk?,Not Predatory
delete these msgs after smh lowk?,Predatory
nah i gotta dip 😂 lowk!!,Not Predatory
send it here only ngl...,Predatory
nah i muted u lol lmao ngl!!,Not Predatory
nah i lagged lowk!,Not Predatory
that skin clean af 😭 lowk...,Not Predatory
nobody else important asap!!,Predatory
we shud link irl lmao later,Predatory
this team stacked lmao tbh!,Not Predatory
who hosting rn highk,Not Predatory
dont ask why fr,Predatory
switch to insta 😂 asap?,Predatory
we shud link irl fr highk!,Predatory
nobody else important ong ngl??,Predatory
yo queue up ong tho!!,Not Predatory
hide this convo!!,Predatory
act normal in chat!,Predatory
lol that meme killed me 😂 asap!!,Not Predatory
lmfao u trash ong lowk??,Not Predatory
add me private ong ngl!,Predatory
nobody else gotta see lol tho??,Predatory
lol that meme killed me 😂 lowk!,Not Predatory
move this convo to dms 😂 tbh??,Predatory
nobody gotta kno ngl?,Predatory
stop acting scared 😂 tbh,Predatory
nah i lagged fr??,Not Predatory
who hosting rn 😭 ngl??,Not Predatory
no1 gotta kno fr bro asap?,Predatory
nobody else gotta see fr idc!!,Predatory
send it here only 💀...,Predatory
no1 gotta kno fr bro lowk...,Predatory
u see that update ong tho!!,Not Predatory
switch to insta 💀 ngl?,Predatory
nobody gotta kno 💀 later??,Predatory
dont type it here 💀 later!!,Predatory
anyone got hw done 💀 asap?,Not Predatory
this lobby sweaty af 💀 asap,Not Predatory
anyone got hw done ong ngl?,Not Predatory
this chat dead lowk bro!!,Not Predatory
dont type it here smh rn!!,Predatory
trust me it’s safe 😭 asap...,Predatory
dont share this lmao tho!,Predatory
trust me it’s safe 😂 asap!,Predatory
nah im tired lmao later??,Not Predatory
fr that update trash bro ngl!!,Not Predatory
slide me ur addy bro tho...,Predatory
nah i gotta dip lol rn!,Not Predatory
send me a pic rq 😭 ngl??,Predatory
u on rn 💀!,Not Predatory
yo lets meet after tbh?,Predatory
dont type it here 😂 tbh,Predatory
we shud link irl fr!!,Predatory
dont tell ur friends bro tbh??,Predatory
bro that clutch insane smh rn...,Not Predatory
yo check discord ong later!!,Not Predatory
yo check discord smh later!,Not Predatory
switch to insta 😭 later...,Predatory
u see that update 😂,Not Predatory
delete logs later smh idc...,Predatory
anyone tryna play lol later?,Not Predatory
yo gimme ur snap lmao rn,Predatory
yo this lobby mid fr?,Not Predatory
we gotta keep quiet lol tho...,Predatory
who online rn lmao rn...,Not Predatory
nobody else gotta see smh rn!,Predatory
yo lets squad ong ngl!,Not Predatory
anyone tryna play bro!,Not Predatory
nah i’m off rn 😂 lowk...,Not Predatory
nobody else gotta see 😂 lowk?,Predatory
bruh u funny asf lmao ngl??,Not Predatory
trust me u fine bro rn!,Predatory
nah i muted u lol lmao lowk...,Not Predatory
fr that update trash tho?,Not Predatory
who hosting rn 💀 later!,Not Predatory
switch to insta lmao highk...,Predatory
dont type it here fr asap...,Predatory
lol that meme killed me 😂 tbh?,Not Predatory
yo hop on vc fr asap!,Not Predatory
delete logs later 💀 tho!!,Predatory
bruh u always late 😂...,Not Predatory
fr that update trash 😭 lowk,Not Predatory
nah im tired ong rn?,Not Predatory
lmfao u trash lol idc...,Not Predatory
who hosting rn 😂 rn...,Not Predatory
bruh stop camping ong idc...,Not Predatory
yo check discord ong idc...,Not Predatory
promise i won’t tell fr highk...,Predatory
no1 gotta kno fr lmao rn...,Predatory
nah i cant today 😭!,Not Predatory
send me a pic rq smh idc?,Predatory
move this convo to dms smh asap,Predatory
delete these msgs after 😭 idc!!,Predatory
come thru tmrw lmao idc!,Predatory
this chat dead lowk ong asap...,Not Predatory
lowk need food bro...,Not Predatory
u on rn smh,Not Predatory
don’t tell no1 lmao tho,Predatory
we gotta keep quiet ong highk!,Predatory
nobody else gotta see ong ngl...,Predatory
nah i’m off rn later?,Not Predatory
i won’t snitch dw ong highk!!,Predatory
ill keep it secret lol asap?,Predatory
bro that clutch insane 😭 ngl,Not Predatory
add me private asap?,Predatory
nah i’m off rn 😂 ngl!,Not Predatory
nah i lagged ong rn?,Not Predatory
bruh u selling lmao rn,Not Predatory
switch to insta smh lowk!!,Predatory
come thru tmrw smh...,Predatory
send me dm rn 💀 idc?,Predatory
yo send link smh tbh?,Not Predatory
ggs that was fun 😭 idc?,Not Predatory
trust me it’s safe highk??,Predatory
ill keep it secret 😭 rn!!,Predatory
stay quiet abt this lmao highk...,Predatory
nah i gotta dip fr tbh...,Not Predatory
don’t tell no1 smh highk,Predatory
dont type it here smh asap?,Predatory
ur parents don’t gotta kno ong rn!!,Predatory
don’t say nun lol lowk!!,Predatory
no1 gotta kno fr tbh,Predatory
yo lets squad lol rn!,Not Predatory
ur parents don’t gotta kno bro asap?,Predatory
u see that update fr lowk!,Not Predatory
bruh u selling smh highk??,Not Predatory
nah im tired fr?,Not Predatory
promise i won’t tell ngl!,Predatory
yo hop on vc lmao lowk??,Not Predatory
who hosting rn 💀 rn,Not Predatory
dont share this smh tbh...,Predatory
u on rn 💀 later...,Not Predatory
slide me ur addy 💀 lowk,Predatory
delete these msgs after smh ngl?,Predatory
this lobby sweaty af ong,Not Predatory
stop acting scared smh ngl?,Predatory
dont share this bro idc?,Predatory
nobody else important tho?,Predatory
we gotta keep quiet ong idc!,Predatory
delete logs later 😭!,Predatory
ggs that was fun bro lowk??,Not Predatory
we shud link irl fr lowk??,Predatory
nobody gotta kno bro!!,Predatory
send me dm rn ong idc!,Predatory
nah i’m off rn tho!!,Not Predatory
yo queue up 💀 rn??,Not Predatory
yo send link idc,Not Predatory
lowk that was fire fr asap!,Not Predatory
nah i cant today 💀 later...,Not Predatory
nah game bugged lowk...,Not Predatory
nah im tired ong later??,Not Predatory
lowk need food lol tho!!,Not Predatory
switch to insta lol rn??,Predatory
anyone got hw done ong highk...,Not Predatory
nobody else important smh tbh...,Predatory
dont tell ur friends 💀 highk!!,Predatory
lmfao u trash tbh!,Not Predatory
yo hop on vc bro lowk,Not Predatory
this lobby sweaty af smh highk!!,Not Predatory
nah im broke rn smh??,Not Predatory
yo lets squad bro highk!!,Not Predatory
that skin clean af 😂 idc?,Not Predatory
nobody else gotta see smh ngl,Predatory
yo check discord lmao asap!,Not Predatory
nah i lagged 😂 ngl!!,Not Predatory
yo send link bro rn!!,Not Predatory
we gotta keep quiet 😂 tho??,Predatory
send it here only fr lowk,Predatory
yo gimme ur snap ong highk,Predatory
bruh stop camping fr?,Not Predatory
promise i won’t tell ong idc?,Predatory
we shud link irl 😭 later??,Predatory
trust me it’s safe fr later?,Predatory
this just btwn u n me smh ngl??,Predatory
slide me ur addy bro tbh...,Predatory
act normal in chat lol later...,Predatory
stay quiet abt this fr idc...,Predatory
this lobby sweaty af bro tbh...,Not Predatory
dont share this asap!!,Predatory
just us two fr rn,Predatory
stay quiet abt this smh idc??,Predatory
u see that update ong lowk!,Not Predatory
bro that clutch insane tbh!!,Not Predatory
bruh u selling tbh??,Not Predatory
i won’t snitch dw smh highk??,Predatory
this wifi trash lmao asap??,Not Predatory
lowk need food lmao later...,Not Predatory
no1 gotta kno fr smh ngl??,Predatory
nah im tired fr lowk!!,Not Predatory
nah i’m off rn 😭 highk...,Not Predatory
lol that meme killed me lmao asap!,Not Predatory
this just btwn u n me lol tho...,Predatory
yo lets meet after 😂 highk...,Predatory
nah i cant today lol ngl,Not Predatory
nah i lagged bro highk...,Not Predatory
yo lets squad ong highk,Not Predatory
bro that clutch insane fr!!,Not Predatory
yo drop ur ign fr tbh!!,Not Predatory
don’t tell no1 rn...,Predatory
ill keep it secret 😂 idc!,Predatory
bruh u selling lmao later!!,Not Predatory
nah i lagged bro idc?,Not Predatory
parents wont find out bro?,Predatory
don’t say nun lol tho!,Predatory
this lobby sweaty af smh asap?,Not Predatory
lmfao u trash ong ngl!!,Not Predatory
add me private 💀??,Predatory
its chill trust lol!,Predatory
bro that clutch insane 😂,Not Predatory
ur parents don’t gotta kno smh lowk...,Predatory
nah im tired 😂 highk??,Not Predatory
im down for comp bro highk!,Not Predatory
anyone got code lmao later?,Not Predatory
nah i muted u lol?,Not Predatory
trust me it’s safe lmao tbh...,Predatory
trust me u fine 💀 tho...,Predatory
ill keep it secret 😭 asap,Predatory
yo gimme ur snap tho...,Predatory
nobody else gotta see lmao later!,Predatory
yo gimme ur snap bro!,Predatory
anyone got code lmao ngl?,Not Predatory
lol that meme killed me ong lowk!!,Not Predatory
move this convo to dms bro rn,Predatory
nah i’m off rn bro rn,Not Predatory
this just btwn u n me fr rn!,Predatory
we shud link irl 😭!!,Predatory
bruh u selling 😂 idc!,Not Predatory
lowk that was fire lmao tho...,Not Predatory
bruh u always late smh lowk,Not Predatory
trust me u fine smh rn!!,Predatory
lowk need food bro tho...,Not Predatory
nobody gotta kno smh asap!,Predatory
ill keep it secret 💀!,Predatory
this just btwn u n me fr tho!,Predatory
nobody gotta kno bro highk?,Predatory
yo send link fr tho?,Not Predatory
trust me it’s safe 😂 tho...,Predatory
yo queue up bro asap,Not Predatory
delete logs later 😂...,Predatory
who hosting rn 😭 tho??,Not Predatory
this wifi trash 😭 highk,Not Predatory
yo gimme ur snap rn!,Predatory
this lobby sweaty af ong lowk...,Not Predatory
who online rn smh asap??,Not Predatory
bruh u always late lmao tho!,Not Predatory
yo hop on vc bro idc?,Not Predatory
yo lets meet after 😂!,Predatory
just us two lol tho,Predatory
slide me ur addy 😂 rn...,Predatory
im down for comp lol rn...,Not Predatory
nah i gotta dip 💀 ngl...,Not Predatory
send me a pic rq 😂 rn??,Predatory
move this convo to dms fr ngl??,Predatory
promise i won’t tell 💀 later?,Predatory
ggs that was fun ngl,Not Predatory
nah i lagged fr ngl!!,Not Predatory
nah i lagged lol lowk,Not Predatory
ur parents don’t gotta kno lmao rn?,Predatory
move this convo to dms 💀 later??,Predatory
bro that clutch insane lmao later,Not Predatory
nah im tired 😂 rn!,Not Predatory
don’t say nun 😭...,Predatory
move this convo to dms lol tbh!!,Predatory
ill keep it secret lol later...,Predatory
bruh u selling lol tbh!,Not Predatory
that skin clean af lmao ngl...,Not Predatory
this team stacked 😂 asap!!,Not Predatory
u see that update smh highk!!,Not Predatory
bruh u always late fr tbh?,Not Predatory
delete logs later bro ngl...,Predatory
yo lets squad lmao rn?,Not Predatory
this just btwn u n me bro!,Predatory
hide this convo 😂 highk!,Predatory
ggs that was fun lol highk??,Not Predatory
nah im broke rn fr tho...,Not Predatory
anyone got code ong!!,Not Predatory
dont type it here ong highk!,Predatory
fr that update trash 💀 tho?,Not Predatory
who online rn ong lowk...,Not Predatory
ur parents don’t gotta kno smh later!,Predatory
who online rn lol highk??,Not Predatory
nah im broke rn smh ngl,Not Predatory
anyone tryna play fr idc??,Not Predatory
yo lets squad 😂,Not Predatory
fr that update trash 😂 highk...,Not Predatory
delete logs later fr tho...,Predatory
fr that update trash 😂 asap?,Not Predatory
u see that update 😂 highk??,Not Predatory
send me a pic rq 💀?,Predatory
yo queue up fr tbh??,Not Predatory
nobody else important lol ngl!!,Predatory
slide me ur addy fr...,Predatory
ill keep it secret 💀 tho!,Predatory
yo drop ur ign 😂 tho,Not Predatory
shh its secret 💀...,Predatory
who online rn ong later!,Not Predatory
send me a pic rq fr tbh?,Predatory
delete logs later ngl!,Predatory
its chill trust ong tbh!!,Predatory
don’t say nun lol asap!,Predatory
lowk that was fire lol later...,Not Predatory
lowk need food ong idc!!,Not Predatory
anyone got code 💀 ngl!,Not Predatory
u see that update 😭 tho...,Not Predatory
this lobby sweaty af lol ngl!,Not Predatory
send it here only smh tbh!!,Predatory
i won’t snitch dw ong later?,Predatory
bro that clutch insane bro idc...,Not Predatory
bruh u funny asf 😭 rn!!,Not Predatory
yo send link ong tho?,Not Predatory
don’t tell no1 😭 idc?,Predatory
slide me ur addy lmao later!,Predatory
yo this lobby mid smh tbh!,Not Predatory
lol that meme killed me lmao ngl??,Not Predatory
this lobby sweaty af 💀 later!!,Not Predatory
bro that clutch insane lmao idc...,Not Predatory
nah i gotta dip 😂!,Not Predatory
act normal in chat ong ngl?,Predatory
this chat dead lowk smh highk??,Not Predatory
send me dm rn bro idc??,Predatory
yo queue up lmao tbh!,Not Predatory
nah im broke rn lol idc...,Not Predatory
add me private bro ngl?,Predatory
anyone tryna play 😂 ngl??,Not Predatory
yo send link 💀 rn??,Not Predatory
trust me u fine ong??,Predatory
come thru tmrw 😭...,Predatory
dont ask why 😭 tbh!!,Predatory
stay quiet abt this 😂 lowk...,Predatory
keep this btwn us 😭 tbh...,Predatory
come thru tmrw bro highk...,Predatory
its chill trust smh rn...,Predatory
send it here only lmao asap?,Predatory
anyone tryna play 😭 idc?,Not Predatory
nah game bugged ong later?,Not Predatory
